date,event,side,price,won
2026-02-15,Enull10,YES,0.5,true
2026-02-15,Enull11,YES,0.5,true
2026-02-15,Enull12,YES,0.5,true
2026-02-15,Enull13,YES,0.5,true
2026-02-15,Enull14,YES,0.5,true
2026-02-15,Enull15,YES,0.5,true
2026-02-15,Enull16,YES,0.5,true
2026-02-15,Enull17,YES,0.5,true
2026-02-15,Enull18,YES,0.5,true
2026-02-15,Enull19,YES,0.5,true
2026-02-15,Enull110,YES,0.5,true
2026-02-15,Enull111,YES,0.5,true
2026-02-15,Enull112,YES,0.5,true
2026-02-15,Enull113,YES,0.5,true
2026-02-15,Enull114,YES,0.5,true
2026-02-15,Enull115,YES,0.5,true
2026-02-15,Enull116,YES,0.5,true
2026-02-15,Enull117,YES,0.5,true
2026-02-15,Enull118,YES,0.5,true
2026-02-15,Enull119,YES,0.5,true
2026-02-16,Enull120,YES,0.5,false
2026-02-16,Enull121,YES,0.5,false
2026-02-16,Enull122,YES,0.5,false
2026-02-16,Enull123,YES,0.5,false
2026-02-16,Enull124,YES,0.5,false
2026-02-16,Enull125,YES,0.5,false
2026-02-16,Enull126,YES,0.5,false
2026-02-16,Enull127,YES,0.5,false
2026-02-16,Enull128,YES,0.5,false
2026-02-16,Enull129,YES,0.5,false
2026-02-16,Enull130,YES,0.5,false
2026-02-16,Enull131,YES,0.5,false
2026-02-16,Enull132,YES,0.5,false
2026-02-16,Enull133,YES,0.5,false
2026-02-16,Enull134,YES,0.5,false
2026-02-16,Enull135,YES,0.5,false
2026-02-16,Enull136,YES,0.5,false
2026-02-16,Enull137,YES,0.5,false
2026-02-16,Enull138,YES,0.5,false
2026-02-16,Enull139,YES,0.5,false
