date,event,side,price,won
2026-02-15,Enull20,YES,0.5,true
2026-02-15,Enull21,YES,0.5,true
2026-02-15,Enull22,YES,0.5,true
2026-02-15,Enull23,YES,0.5,true
2026-02-15,Enull24,YES,0.5,true
2026-02-15,Enull25,YES,0.5,true
2026-02-15,Enull26,YES,0.5,true
2026-02-15,Enull27,YES,0.5,true
2026-02-15,Enull28,YES,0.5,true
2026-02-15,Enull29,YES,0.5,true
2026-02-15,Enull210,YES,0.5,true
2026-02-15,Enull211,YES,0.5,true
2026-02-15,Enull212,YES,0.5,true
2026-02-15,Enull213,YES,0.5,true
2026-02-15,Enull214,YES,0.5,true
2026-02-15,Enull215,YES,0.5,true
2026-02-15,Enull216,YES,0.5,true
2026-02-15,Enull217,YES,0.5,true
2026-02-15,Enull218,YES,0.5,true
2026-02-16,Enull219,YES,0.5,false
2026-02-16,Enull220,YES,0.5,false
2026-02-16,Enull221,YES,0.5,false
2026-02-16,Enull222,YES,0.5,false
2026-02-16,Enull223,YES,0.5,false
2026-02-16,Enull224,YES,0.5,false
2026-02-16,Enull225,YES,0.5,false
2026-02-16,Enull226,YES,0.5,false
2026-02-16,Enull227,YES,0.5,false
2026-02-16,Enull228,YES,0.5,false
2026-02-16,Enull229,YES,0.5,false
2026-02-16,Enull230,YES,0.5,false
2026-02-16,Enull231,YES,0.5,false
2026-02-16,Enull232,YES,0.5,false
2026-02-16,Enull233,YES,0.5,false
2026-02-16,Enull234,YES,0.5,false
2026-02-16,Enull235,YES,0.5,false
2026-02-16,Enull236,YES,0.5,false
2026-02-16,Enull237,YES,0.5,false
2026-02-16,Enull238,YES,0.5,false
2026-02-16,Enull239,YES,0.5,false
